State,Binge Count,Not Binge Count,Total,pbinge,PercentNonBinge
California,79,494,573,13.78708551,86.21291449
Connecticut,88,642,730,12.05479452,87.94520548
District Of Columbia,34,206,240,14.16666667,85.83333333
Georgia,25,200,225,11.11111111,88.88888889
Hawaii,46,295,341,13.48973607,86.51026393
Illinois,39,251,290,13.44827586,86.55172414
Indiana,34,258,292,11.64383562,88.35616438
Kansas,97,916,1013,9.575518263,90.42448174
Louisiana,24,179,203,11.8226601,88.1773399
Maine,70,526,596,11.74496644,88.25503356
Maryland,75,700,775,9.677419355,90.32258065
Massachusetts,51,373,424,12.02830189,87.97169811
Michigan,60,401,461,13.01518438,86.98481562
Minnesota,116,763,879,13.19681456,86.80318544
Mississippi,8,225,233,3.433476395,96.56652361
Missouri,43,280,323,13.3126935,86.6873065
Montana,47,283,330,14.24242424,85.75757576
Nebraska,113,746,859,13.1548312,86.8451688
Nevada,20,135,155,12.90322581,87.09677419
New Hampshire,37,365,402,9.2039801,90.7960199
New Jersey,88,561,649,13.55932203,86.44067797
New Mexico,20,278,298,6.711409396,93.2885906
New York,70,567,637,10.98901099,89.01098901
North Carolina,21,282,303,6.930693069,93.06930693
Ohio,58,555,613,9.461663948,90.53833605
Oklahoma,25,326,351,7.122507123,92.87749288
Oregon,31,249,280,11.07142857,88.92857143
Pennsylvania,32,228,260,12.30769231,87.69230769
Rhode Island,39,287,326,11.96319018,88.03680982
South Carolina,48,499,547,8.775137112,91.22486289
South Dakota,41,355,396,10.35353535,89.64646465
Texas,64,583,647,9.891808346,90.10819165
Utah,25,450,475,5.263157895,94.73684211
Vermont,42,334,376,11.17021277,88.82978723
Wisconsin,40,233,273,14.65201465,85.34798535
Puerto Rico,13,127,140,9.285714286,90.71428571
